token_index,valuation
0.0,20476.54921301861
1.0,38255.52642635606
14.0,-7848.511514209794
53.0,109978.79905857364
89.0,-15354.712723138698
116.0,-50594.54424363568
118.0,39612.15181308199
124.0,48619.11485865774
138.0,94103.18325823778
139.0,82634.44098707012
141.0,64718.29459031449
143.0,253848.23906509517
150.0,193025.17560314358
155.0,50831.90866420548
160.0,80937.19938897704
161.0,133374.00943967054
169.0,64632.92236470719
173.0,144765.4156899145
197.0,137204.68863977393
203.0,107724.13398607128
211.0,71683.72065351048
229.0,106951.1226540702
234.0,83183.0637447637
235.0,59226.196526000014
239.0,69462.77800508404
240.0,64410.54246281984
252.0,69989.70189445691
257.0,92297.40587421614
258.0,62114.0614165862
259.0,102884.2898596611
260.0,160656.60718629893
273.0,136234.31178238863
280.0,65119.5887983461
283.0,65581.24883819916
285.0,87406.58995688
286.0,75799.97029272997
287.0,58694.68997614315
291.0,64486.552958285545
294.0,32171.85083992929
300.0,112213.51307671078
308.0,70487.6533622842
312.0,116172.29186569703
318.0,55541.53085576774
322.0,61044.698488443275
328.0,65109.46345822274
329.0,59255.78922975851
332.0,64881.12845340426
335.0,-4376.535359904543
339.0,222244.29952748996
340.0,138262.7530888475
341.0,64162.75549063852
342.0,258096.8764125743
349.0,66121.39429206062
352.0,44833.6305758619
353.0,69589.45126400006
355.0,48891.6179690456
365.0,68601.71983776396
368.0,74890.46946288712
374.0,70045.96453643181
376.0,59027.6855645551
381.0,41449.46967350669
382.0,90373.63861161759
384.0,57429.47774394026
385.0,225123.07796943866
387.0,325177.1255557077
399.0,102869.51459359952
402.0,56898.60773311317
406.0,288554.91572448023
407.0,140987.07831667026
416.0,129106.83937722465
418.0,120414.78424664287
422.0,102431.9972871957
423.0,94782.127109237
426.0,26752.49397165745
430.0,53952.12405544142
431.0,71138.4263875594
434.0,145249.5640171239
435.0,73378.90902276499
441.0,90589.25776417031
445.0,226518.21865716612
446.0,42924.74965200017
447.0,65801.09353912501
449.0,64061.3329486875
457.0,129592.97304356567
470.0,48637.54309521684
473.0,41827.316153075386
483.0,79929.08129943267
486.0,86599.09882461012
488.0,64608.657284210174
489.0,126174.35155557052
490.0,151940.2359701962
494.0,132816.20972942258
496.0,108738.58981302638
497.0,73792.18347569123
501.0,79512.00872301366
503.0,72563.5697469712
506.0,82761.70171709874
507.0,122588.08451366758
509.0,88173.16637389007
510.0,1741946.9521769935
512.0,123044.04458678169
522.0,104629.87911201606
526.0,89371.44622405646
531.0,81473.52081332392
534.0,211123.59264733025
538.0,53480.05457189672
544.0,60557.86102761401
547.0,60713.35678539984
548.0,76001.87072416782
550.0,90874.26491857889
551.0,84569.941697446
553.0,123037.23072015247
561.0,447566.5626233032
563.0,117980.84714593948
564.0,88613.14208037528
570.0,139781.3006273767
573.0,111922.96786160287
577.0,80647.38615254142
583.0,68183.8252337696
586.0,81674.53319072658
588.0,125779.27265841639
591.0,51744.2339555487
593.0,82933.3474282008
596.0,144507.79017157605
604.0,58746.830932392026
608.0,179286.5384901318
610.0,107396.63898985455
613.0,113941.22308507824
616.0,107763.46707889842
617.0,143369.8942672662
618.0,108585.35904580692
620.0,82225.37971525035
622.0,102327.3726338097
627.0,201852.97372012693
628.0,132740.78697447779
632.0,83336.924029894
636.0,123882.53928990457
638.0,193800.86519658676
639.0,65814.59568647017
642.0,241804.35992329454
643.0,135784.3064204434
648.0,88098.20109651233
650.0,125418.86528284114
660.0,121631.242565274
661.0,112622.92172374351
669.0,35893.2572036165
675.0,62566.582595810425
678.0,38725.02636270881
682.0,64932.528380650256
684.0,216730.59088389852
685.0,65078.55507457564
686.0,150689.8013809571
690.0,191515.988574575
692.0,73999.44897403613
695.0,69898.94974482346
698.0,125475.1483785534
700.0,104028.19922206439
702.0,92376.51988780967
703.0,74494.68919818895
704.0,111323.56772009043
709.0,147265.7360624329
713.0,128365.30049694024
715.0,65651.42846531111
716.0,215429.47191102608
717.0,55234.184036363564
718.0,119261.24884641277
729.0,57943.04715586783
730.0,57809.54968867528
735.0,105668.0345146388
740.0,193430.17065109807
743.0,63670.17494545273
745.0,123337.54912548335
749.0,78636.84694391814
750.0,98905.89402805295
751.0,68311.56636792097
759.0,112058.67446839428
769.0,171864.089231543
773.0,81070.00741182362
774.0,123008.84018942202
777.0,28999.07957121219
782.0,99416.9766990164
784.0,157991.20526160326
792.0,68431.40256437798
793.0,90040.97551328789
794.0,109581.10845429574
797.0,81207.86964213576
800.0,283027.22121090913
803.0,62344.0750862548
807.0,43259.77632023064
812.0,48551.45347273991
814.0,163084.94384057174
817.0,142462.7663322138
819.0,72715.88118774194
820.0,50004.69922910884
824.0,196869.16366891717
825.0,82416.88076895602
827.0,152194.6878235424
836.0,177288.23673859407
838.0,32284.497480239617
839.0,56153.39565719947
843.0,118339.3679523285
845.0,73195.20507006497
848.0,78122.54296291542
852.0,74456.9549491239
853.0,72388.34174401604
855.0,138187.0324481835
857.0,121587.83080623596
861.0,75467.83208187307
862.0,101024.42074700566
871.0,73650.52430894237
875.0,73419.77302244511
877.0,183576.44155622047
880.0,61072.963263739744
883.0,181102.64752472818
886.0,114301.03197039866
891.0,218415.59712275912
897.0,73887.3791302794
898.0,99588.53843165001
900.0,150538.20062295414
906.0,86884.08877850235
907.0,84377.17411249552
913.0,59893.07908729635
914.0,51218.51558347262
915.0,105637.91792033015
916.0,190730.42279783363
920.0,296330.4817568052
923.0,116721.74307975851
924.0,227590.29473456208
931.0,35968.82322473718
939.0,77558.61622869158
943.0,33472.176854360616
945.0,177900.4294840471
948.0,82510.78544357444
950.0,27890.637135834626
952.0,69058.19429558073
958.0,83312.54236738436
965.0,67502.32045051969
973.0,111790.78317155171
974.0,96247.25863591583
981.0,78117.36228264651
982.0,77619.72661055482
983.0,169063.139610495
985.0,145209.70414963088
991.0,78977.68949158429
992.0,101831.19709927049
993.0,36808.09629768515
998.0,64660.300166426285
